"site","ID","day","month","ext","order","family","Bloc","Coupe","Exclos","Analogue","ord.fam"
"BCTAEA1","col332",15,"juillet",3,"Poduromorpha","Hypogastruridae","B","totale","avec","1","Poduromorpha Hypogastruridae"
"BCTAEA1","col474",18,"aout",3,"Entomobryomorpha","Isotomidae","B","totale","avec","1","Entomobryomorpha Isotomidae"
"BCTAEA1","col356",15,"juillet",6,"Poduromorpha","Tullbergidae","B","totale","avec","1","Poduromorpha Tullbergidae"
"BCTAEA2","col087",20,"mai",3,"Symphypleona","Sminthuridae","B","totale","avec","2","Symphypleona Sminthuridae"
"BCTAEA2","col086",20,"mai",3,"Entomobryomorpha","Entomobryidae","B","totale","avec","2","Entomobryomorpha Entomobryidae"
"BCTAEA2","col025",20,"mai",3,"Entomobryomorpha","Entomobryidae","B","totale","avec","2","Entomobryomorpha Entomobryidae"
"BCTAEA3","col123",20,"juin",6,"Poduromorpha","Hypogastruridae","B","totale","avec","3","Poduromorpha Hypogastruridae"
"BCTAEA3","col457",18,"aout",3,"Symphypleona","Neelidae","B","totale","avec","3","Symphypleona Neelidae"
"BCTAEA3","col455",18,"aout",3,"Poduromorpha","Onychiuridae","B","totale","avec","3","Poduromorpha Onychiuridae"
"BCTAEA3","col315",15,"juillet",3,"Entomobryomorpha","Isotomidae","B","totale","avec","3","Entomobryomorpha Isotomidae"
"BCTAEA3","col348",15,"juillet",6,"Poduromorpha","Onychiuridae","B","totale","avec","3","Poduromorpha Onychiuridae"
"BCTAEA3","col349",15,"juillet",6,"Poduromorpha","Onychiuridae","B","totale","avec","3","Poduromorpha Onychiuridae"
"BCTAEA3","col456",18,"aout",3,"Symphypleona","Neelidae","B","totale","avec","3","Symphypleona Neelidae"
"BCTSEA1","col338",15,"juillet",6,"Poduromorpha","Onychiuridae","B","totale","sans","1","Poduromorpha Onychiuridae"
"BCTSEA1","col325",15,"juillet",3,"Entomobryomorpha","Isotomidae","B","totale","sans","1","Entomobryomorpha Isotomidae"
"BCTSEA1","col326",15,"juillet",3,"Poduromorpha","Tullbergidae","B","totale","sans","1","Poduromorpha Tullbergidae"
"BCTSEA1","col335",15,"juillet",6,"Entomobryomorpha","Isotomidae","B","totale","sans","1","Entomobryomorpha Isotomidae"
"BCTSEA1","col329",15,"juillet",3,"Poduromorpha","Hypogastruridae","B","totale","sans","1","Poduromorpha Hypogastruridae"
"BCTSEA1","col336",15,"juillet",6,"Poduromorpha","Hypogastruridae","B","totale","sans","1","Poduromorpha Hypogastruridae"
"BCTSEA1","col330",15,"juillet",3,"Poduromorpha","Tullbergidae","B","totale","sans","1","Poduromorpha Tullbergidae"
"BCTSEA1","col328",15,"juillet",3,"Poduromorpha","Tullbergidae","B","totale","sans","1","Poduromorpha Tullbergidae"
"BCTSEA1","col337",15,"juillet",6,"Poduromorpha","Hypogastruridae","B","totale","sans","1","Poduromorpha Hypogastruridae"
"BCTSEA1","col327",15,"juillet",3,"Poduromorpha","Hypogastruridae","B","totale","sans","1","Poduromorpha Hypogastruridae"
"BCTSEA2","col461",18,"aout",3,"Entomobryomorpha","Isotomidae","B","totale","sans","2","Entomobryomorpha Isotomidae"
"BCTSEA2","col024",20,"mai",3,"Entomobryomorpha","Entomobryidae","B","totale","sans","2","Entomobryomorpha Entomobryidae"
"BCTSEA2","col460",18,"aout",3,"Poduromorpha","Hypogastruridae","B","totale","sans","2","Poduromorpha Hypogastruridae"
"BCTSEA2","col121",20,"juin",6,"Entomobryomorpha","Entomobryidae","B","totale","sans","2","Entomobryomorpha Entomobryidae"
"BCTSEA2","col404",18,"aout",6,"Poduromorpha","Tullbergidae","B","totale","sans","2","Poduromorpha Tullbergidae"
"BCTSEA2","col459",18,"aout",3,"Poduromorpha","Hypogastruridae","B","totale","sans","2","Poduromorpha Hypogastruridae"
"BCTSEA2","col403",18,"aout",6,"Entomobryomorpha","Isotomidae","B","totale","sans","2","Entomobryomorpha Isotomidae"
"BT1","col052",20,"mai",3,"Poduromorpha","Hypogastruridae","B","temoin","sans","temoin","Poduromorpha Hypogastruridae"
"BT1","col122",20,"juin",6,"Entomobryomorpha","Isotomidae","B","temoin","sans","temoin","Entomobryomorpha Isotomidae"
"BT2","col125",20,"juin",6,"Poduromorpha","Neanuridae","B","temoin","sans","temoin","Poduromorpha Neanuridae"
"BT2","col370",15,"juillet",6,"Entomobryomorpha","Isotomidae","B","temoin","sans","temoin","Entomobryomorpha Isotomidae"
"BT3","col323",15,"juillet",6,"Poduromorpha","Onychiuridae","B","temoin","sans","temoin","Poduromorpha Onychiuridae"
